PLAYER_ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FOOT
ply510,,Danilo,Brazil,1991-07-15,Juventus,6,Defender,184,78,R
ply511,Mattia De,Sciglio,Italy,1992-10-20,Juventus,2,Defender,182,78,R
ply512,Federico,Gatti,Italy,1998-06-24,Juventus,15,Defender,190,84,R
ply513,Daniele,Rugani,Italy,1994-07-29,Juventus,24,Defender,190,84,R
ply514,Enzo,Barrenechea,Argentina,2001-05-22,Juventus,45,Midfielder,186,81,L
ply515,Nicolò,Fagioli,Italy,2001-02-12,Juventus,44,Midfielder,178,70,R
ply516,Samuel,Iling,England,2003-10-04,Juventus,43,Midfielder,169,63,L
ply517,Filip,Kostić,Serbia,1992-11-01,Juventus,17,Midfielder,184,82,L
ply518,Manuel,Locatelli,Italy,1998-01-08,Juventus,5,Midfielder,186,75,R
ply519,Weston,McKennie,USA,1998-08-28,Juventus,8,Midfielder,183,84,R
ply520,Fabio,Miretti,Italy,2003-08-03,Juventus,20,Midfielder,179,65,R
ply521,Leandro,Paredes,Argentina,1994-06-29,Juventus,32,Midfielder,180,75,R
ply522,Paul,Pogba,France,1993-03-15,Juventus,10,Midfielder,191,84,
ply523,Adrien,Rabiot,France,1995-04-03,Juventus,25,Midfielder,191,80,L
ply524,Marley,Aké,France,2001-01-05,Juventus,33,Forward,177,68,R
ply525,Federico,Chiesa,Italy,1997-10-25,Juventus,7,Forward,175,70,R
ply526,Cosimo Da,Graca,Italy,2002-05-01,Juventus,40,Forward,185,74,R
ply527,Ángel Di,María,Argentina,1988-02-14,Juventus,22,Forward,180,75,L
ply528,Kaio,Jorge,Brazil,2002-01-24,Juventus,21,Forward,182,71,R
ply529,Moise,Kean,Italy,2000-02-28,Juventus,18,Forward,182,72,R
ply530,Arkadiusz,Milik,Poland,1994-02-28,Juventus,14,Forward,186,78,L
ply531,Matías,Soulé,Argentina,2003-04-15,Juventus,30,Forward,176,71,L
ply532,Dušan,Vlahović,Serbia,2000-01-28,Juventus,9,Forward,190,75,L
ply533,Lucas,Chevalier,France,2001-11-06,Lille OSC,30,Goalkeeper,192,78,R
ply534,Adam,Jakubech,Slovakia,1997-01-02,Lille OSC,16,Goalkeeper,188,85,R
ply535,Léo,Jardim,Brazil,1995-03-20,Lille OSC,1,Goalkeeper,188,82,R
ply536,Alexsandro,Ribeiro,Brazil,1999-08-09,Lille OSC,4,Defender,192,90,R
ply537,Bafodé,Diakité,France,2001-01-06,Lille OSC,18,Defender,185,82,R
ply538,Gabriel,Gudmundsson,Sweden,1999-04-29,Lille OSC,5,Defender,181,74,L
ply539,,Ismaily,Brazil,1990-01-11,Lille OSC,31,Defender,177,82,L
ply540,José,Fonte,Portugal,1983-12-22,Lille OSC,6,Defender,191,81,R
ply541,Tiago,Djaló,Portugal,2000-04-09,Lille OSC,3,Defender,190,82,R
ply542,Leny,Yoro,France,2005-11-13,Lille OSC,15,Defender,,,R
ply543,Akim,Zedadka,France,1995-05-30,Lille OSC,13,Defender,173,70,R
ply544,Benjamin,André,France,1990-08-03,Lille OSC,21,Midfielder,180,68,R
ply545,André,Gomes,Portugal,1993-07-30,Lille OSC,28,Midfielder,188,84,R
ply546,Carlos,Baleba,Cameroon,2004-01-03,Lille OSC,35,Midfielder,,,L
ply547,Rémy,Cabella,France,1990-03-08,Lille OSC,17,Midfielder,171,68,R
ply548,Angel,Gomes,England,2000-08-31,Lille OSC,20,Midfielder,168,56,R
ply549,Jonas,Martin,France,1990-04-09,Lille OSC,8,Midfielder,184,77,R
ply550,Ugo,Raghouber,France,2003-07-13,Lille OSC,12,Midfielder,179,62,L
ply551,Jonathan,Bamba,France,1996-03-26,Lille OSC,7,Forward,175,67,R
ply552,Mohamed,Bayo,Guinea,1998-06-04,Lille OSC,27,Forward,188,76,R
ply553,Jonathan,David,Canada,2000-01-14,Lille OSC,9,Forward,180,70,
ply554,José,Bica,Portugal,2003-06-16,Lille OSC,39,Forward,176,66,R
ply555,Isaac,Lihadji,France,2002-04-10,Lille OSC,19,Forward,177,70,L
ply556,Adam,Ounas,Algeria,1996-11-11,Lille OSC,11,Forward,172,65,L
ply557,Alan,Virginius,France,2003-01-03,Lille OSC,26,Forward,175,65,R
ply558,Timothy,Weah,USA,2000-02-22,Lille OSC,22,Forward,183,66,R
ply559,Edon,Zhegrova,Kosovo,1999-03-31,Lille OSC,23,Forward,181,72,L
ply560,,Adrián,Spain,1987-01-03,Liverpool FC,13,Goalkeeper,190,89,R
ply561,,Alisson,Brazil,1992-10-02,Liverpool FC,1,Goalkeeper,191,88,R
ply562,Harvey,Davies,England,2003-09-03,,,Goalkeeper,190,,L
ply563,Caoimhin,Kelleher,Ireland,1998-11-23,Liverpool FC,62,Goalkeeper,188,74,R
ply564,Trent,Alexander-Arnold,England,1998-10-07,Liverpool FC,66,Defender,180,69,R
ply565,Stefan,Bajčetić,Spain,2004-10-22,Liverpool FC,43,Defender,185,,
ply566,Luke,Chambers,England,2004-06-24,Liverpool FC,88,Defender,181,,L
ply567,Joe,Gomez,England,1997-05-23,Liverpool FC,2,Defender,188,77,R
ply568,Ibrahima,Konaté,France,1999-05-25,Liverpool FC,5,Defender,194,95,R
ply569,Joel,Matip,Cameroon,1991-08-08,Liverpool FC,32,Defender,195,89,R
ply570,Nathaniel,Phillips,England,1997-03-21,Liverpool FC,47,Defender,190,84,R
ply571,Calvin,Ramsay,Scotland,2003-07-31,Liverpool FC,22,Defender,177,68,R
ply572,Andrew,Robertson,Scotland,1994-03-11,Liverpool FC,26,Defender,178,64,L
ply573,Kostas,Tsimikas,Greece,1996-05-12,Liverpool FC,21,Defender,179,70,L
ply574,Virgil van,Dijk,Netherlands,1991-07-08,Liverpool FC,4,Defender,193,92,R
ply575,,Arthur,Brazil,1996-08-12,Liverpool FC,29,Midfielder,171,73,R
ply576,Harvey,Elliott,England,2003-04-04,Liverpool FC,19,Midfielder,170,67,L
ply577,,Fabinho,Brazil,1993-10-23,Liverpool FC,3,Midfielder,188,78,R
ply578,Jordan,Henderson,England,1990-06-17,Liverpool FC,14,Midfielder,187,80,R
ply579,Curtis,Jones,England,2001-01-30,Liverpool FC,17,Midfielder,185,75,R
ply580,Naby,Keïta,Guinea,1995-02-10,Liverpool FC,8,Midfielder,172,64,R
ply581,James,Milner,England,1986-01-04,Liverpool FC,7,Midfielder,175,70,R
ply582,Alex,Oxlade-Chamberlain,England,1993-08-15,Liverpool FC,15,Midfielder,175,70,R
ply583,,Thiago,Spain,1991-04-11,Liverpool FC,6,Midfielder,174,70,R
ply584,Bobby,Clark,England,2005-02-07,Liverpool FC,50,Forward,178,,R
ply585,Luis,Díaz,Colombia,1997-01-13,Liverpool FC,23,Forward,180,73,R
ply586,Diogo,Jota,Portugal,1996-12-04,Liverpool FC,20,Forward,178,70,R
ply587,Fabio,Carvalho,Portugal,2002-08-30,Liverpool FC,28,Forward,170,63,R
ply588,Darwin,Núñez,Uruguay,1999-06-24,Liverpool FC,27,Forward,187,80,R
ply589,Roberto,Firmino,Brazil,1991-10-02,Liverpool FC,9,Forward,181,76,R
ply590,Mo,Salah,Egypt,1992-06-15,Liverpool FC,11,Forward,175,73,L
ply591,John,Achterberg,Netherlands,1971-07-08,Liverpool FC,,Goalkeeping,189,90,
ply592,Cláudio,Taffarel,Brazil,1966-05-08,Liverpool FC,,Goalkeeping,182,80,
ply593,Jack,Robinson,England,,Liverpool FC,,Goalkeeping,,,
ply594,Jordan,Fairclough,England,,Liverpool FC,,Fitness,,,
ply595,John,Hill,England,,Liverpool FC,,Fitness,,,
ply596,Andreas,Kornmayer,Germany,1974-09-21,Liverpool FC,,Fitness,,,
ply597,Conall,Murtagh,Northern Ireland,1985-06-29,Liverpool FC,,Fitness,183,75,R
ply598,David,Rydings,England,,Liverpool FC,,Rehab,,,
ply599,Andreas,Schlumberger,Germany,1966-07-23,Liverpool FC,,Rehab,,,
ply600,Mark,Hulse,England,1971-09-06,Liverpool FC,,Physical,,,
ply601,Thomas,Grønnemark,England,1975-12-12,Liverpool FC,,Individual,,,
ply602,Angel,Vales,Spain,1967-02-01,Liverpool FC,,Technique,,,
ply603,Vitor,Matos,England,,Liverpool FC,,Special,,,
ply604,James,French,England,,Liverpool FC,,Game,,,
ply605,Greg,Mathieson,England,,Liverpool FC,,Game,,,
ply606,Daniel,Spearritt,England,,Liverpool FC,,Game,,,
ply607,Viktor,Andersson,Sweden,2004-03-30,Malmö FF,39,Goalkeeper,186,76,
ply608,Johan,Dahlin,Sweden,1986-09-08,Malmö FF,27,Goalkeeper,192,94,R
ply609,Ismael,Diawara,Mali,1994-11-11,,,Goalkeeper,194,97,R
ply610,Melker,Ellborg,Sweden,2003-05-22,,1,Goalkeeper,191,84,
ply611,André Alvarez,Perez,Sweden,2005-03-23,Malmö FF,42,Defender,,,
ply612,Felix,Beijmo,Sweden,1998-01-31,Malmö FF,14,Defender,186,82,R
ply613,Matěj,Chaluš,Czech Republic,1998-02-02,Malmö FF,23,Defender,190,89,R
ply614,Dennis,Hadžikadunić,Bosnia-Herzegovina,1998-07-09,Malmö FF,21,Defender,186,81,R
ply615,Jonas,Knudsen,Denmark,1992-09-16,Malmö FF,3,Defender,187,72,L
ply616,Niklas,Moisander,Finland,1985-09-29,Malmö FF,4,Defender,183,77,L
ply617,Lasse,Nielsen,Denmark,1988-01-08,Malmö FF,24,Defender,185,82,R
ply618,Martin,Olsson,Sweden,1988-05-17,Malmö FF,13,Defender,180,78,L
ply619,Raymond,Adjei,Sweden,2004-02-10,Malmö FF,44,Midfielder,,,
ply620,Jo Inge,Berget,Norway,1990-09-11,Malmö FF,32,Midfielder,186,81,R
ply621,Anders,Christiansen,Denmark,1990-06-08,Malmö FF,10,Midfielder,175,68,R
ply622,Romain,Gall,USA,1995-01-31,,,Midfielder,176,72,
ply623,Hugo,Larsson,Sweden,2004-06-27,Malmö FF,31,Midfielder,187,63,
ply624,Oscar,Lewicki,Sweden,1992-07-14,Malmö FF,6,Midfielder,170,67,
ply625,Emmanuel,Lomotey,Ghana,1997-12-19,Malmö FF,40,Midfielder,190,79,R
